seed,I_ext,stability_margin,rho_A,T,target_scale,dir_seed,energy,rel_reachability_error
0,0.24,0.12611336389051414,0.9388902540548681,5,0.01,2,0.0004178702846577884,0.022156510810201233
0,0.24,0.12611336389051414,0.9388902540548681,5,0.02,0,0.0016240278972452183,0.007289402523520103
0,0.24,0.12611336389051414,0.9388902540548681,5,0.02,1,0.0016712801875275521,0.024672967330499906
0,0.24,0.12611336389051414,0.9388902540548681,5,0.02,2,0.0016047033449873148,0.007972300476510307
0,0.24,0.12611336389051414,0.9388902540548681,5,0.05,0,0.010486949135278242,0.015695482469768533
0,0.24,0.12611336389051414,0.9388902540548681,5,0.05,1,0.010488409800015776,0.02138444900322102
0,0.24,0.12611336389051414,0.9388902540548681,5,0.05,2,0.010237525526670217,0.010330955404055384
0,0.24,0.12611336389051414,0.9388902540548681,5,0.1,0,0.04187787316269096,0.014629021966171493
0,0.24,0.12611336389051414,0.9388902540548681,5,0.1,1,0.042339665741532626,0.017666032770116948
0,0.24,0.12611336389051414,0.9388902540548681,5,0.1,2,0.04172278113158572,0.016492737846137542
0,0.24,0.12611336389051414,0.9388902540548681,20,0.005,0,4.484352119766991e-05,0.038268291067899786
0,0.24,0.12611336389051414,0.9388902540548681,20,0.005,1,4.031363389372189e-05,0.03532078515370831
0,0.24,0.12611336389051414,0.9388902540548681,20,0.005,2,4.3119622474725565e-05,0.009623155832906075
0,0.24,0.12611336389051414,0.9388902540548681,20,0.01,0,0.0001707130850522609,0.018320430940036075
0,0.24,0.12611336389051414,0.9388902540548681,20,0.01,1,0.00015818398483977855,0.0041267178057059015
0,0.24,0.12611336389051414,0.9388902540548681,20,0.01,2,0.00015398710088284956,0.017639978364478014
0,0.24,0.12611336389051414,0.9388902540548681,20,0.02,0,0.0006524475088511607,0.005653097087234343
0,0.24,0.12611336389051414,0.9388902540548681,20,0.02,1,0.0006057008415117429,0.004370828653415089
0,0.24,0.12611336389051414,0.9388902540548681,20,0.02,2,0.0006292252672435158,0.014164320366343183
0,0.24,0.12611336389051414,0.9388902540548681,20,0.05,0,0.004136976078663422,0.020928600562774093
0,0.24,0.12611336389051414,0.9388902540548681,20,0.05,1,0.004481387340813362,0.0299816910221823
0,0.24,0.12611336389051414,0.9388902540548681,20,0.05,2,0.004144417126823457,0.026155528531457955
0,0.24,0.12611336389051414,0.9388902540548681,20,0.1,0,0.01675859510613925,0.03337313400585261
0,0.24,0.12611336389051414,0.9388902540548681,20,0.1,1,0.017052597905131313,0.03933832008697492
0,0.24,0.12611336389051414,0.9388902540548681,20,0.1,2,0.01846106988304091,0.03006951477596493
0,0.24,0.12611336389051414,0.9388902540548681,50,0.005,0,4.178498350679563e-05,0.024526468108801006
0,0.24,0.12611336389051414,0.9388902540548681,50,0.005,1,3.799185583290233e-05,0.03928664013652887
0,0.24,0.12611336389051414,0.9388902540548681,50,0.005,2,4.2184457501740656e-05,0.013824673422712904
0,0.24,0.12611336389051414,0.9388902540548681,50,0.01,0,0.00016401737015643315,0.004026965136567606
0,0.24,0.12611336389051414,0.9388902540548681,50,0.01,1,0.0001538665472193376,0.02072079209709734
0,0.24,0.12611336389051414,0.9388902540548681,50,0.01,2,0.00015607333674673483,0.005809352063357273
0,0.24,0.12611336389051414,0.9388902540548681,50,0.02,0,0.0006098684858172779,0.010646806720826508
0,0.24,0.12611336389051414,0.9388902540548681,50,0.02,1,0.0006204893851040144,0.046994172944297787
0,0.24,0.12611336389051414,0.9388902540548681,50,0.02,2,0.0006503951121364352,0.01111810434659858
0,0.24,0.12611336389051414,0.9388902540548681,50,0.05,0,0.003909717374036269,0.025015017718758237
0,0.24,0.12611336389051414,0.9388902540548681,50,0.05,1,0.0044025350412805605,0.02255563167342763
0,0.24,0.12611336389051414,0.9388902540548681,50,0.05,2,0.004592613622296474,0.020133935311665685
0,0.24,0.12611336389051414,0.9388902540548681,50,0.1,0,0.016824021034713317,0.033901461623449494
0,0.24,0.12611336389051414,0.9388902540548681,50,0.1,1,0.01712859172059071,0.04183471223147105
0,0.24,0.12611336389051414,0.9388902540548681,50,0.1,2,0.015919121535666172,0.03454440142022663
